Source,Target,BDeu,TSource,TTarget
AT1G25560,AT1G73500,-29.6625317941544,TEM1,MKK9
AT3G61630,AT1G73500,-29.6625317941544,AT3G61630,MKK9
AT1G64380,AT1G04310,-58.2178118116067,AT1G64380,ERS2
AT1G74840,AT1G04310,-58.2178118116067,AT1G74840,ERS2
AT1G74840,AT5G64900,-85.6921791174908,AT1G74840,AT5G64900
AT5G47220,AT5G64900,-85.6921791174908,AT5G47220,AT5G64900
AT4G16750,AT2G31730,-149.109233942141,AT4G16750,AT2G31730
AT5G47230,AT2G31730,-149.109233942141,AT5G47230,AT2G31730
AT1G25560,AT3G59900,-153.4750182707,TEM1,AT3G59900
AT1G74840,AT3G59900,-153.4750182707,AT1G74840,AT3G59900
