Target,Source,BDeu
AT1G73500,AT3G61630,-37.4131711984003
AT1G73500,AT4G11140,-37.4459610212232
AT1G73500,AT1G74840,-65.0033703198096
AT1G73500,AT4G17500,-65.0361601426325
AT1G73500,AT1G64380,-99.2985652561741
AT1G73500,AT3G15210,-102.071153978398
AT1G73500,AT5G13910,-157.015281251925
AT1G73500,AT4G16750,-163.659512798693
AT1G73500,AT1G68840,-169.674449701965
AT1G73500,AT1G25560,-171.1015660576
AT1G73500,AT5G47230,-172.401775459918
AT1G73500,AT5G47220,-176.934533068326
AT1G73500,AT1G28370,-190.86636939099
AT1G73500,AT3G23240,-209.604046595099
