Target,Source1,Source2,BDeu
AT2G31730,AT4G16750,AT5G47230,-149.109233942141
AT2G31730,AT1G64380,AT5G47220,-157.342351389973
AT2G31730,AT1G64380,AT5G47230,-168.362071776276
AT2G31730,AT3G23240,AT5G47230,-172.904183826292
AT2G31730,AT5G13910,AT1G64380,-173.738830569127
AT2G31730,AT4G16750,AT5G47220,-177.328453160957
AT2G31730,AT1G28370,AT1G64380,-179.529094049058
AT2G31730,AT1G74840,AT5G47220,-180.863181935237
AT2G31730,AT3G61630,AT5G47220,-182.597782990622
AT2G31730,AT4G16750,AT5G13910,-182.702013059868
AT2G31730,AT1G25560,AT5G47220,-182.995867991428
AT2G31730,AT4G16750,AT3G61630,-183.031586074038
AT2G31730,AT4G16750,AT4G11140,-183.969855712624
AT2G31730,AT4G16750,AT4G17500,-183.969855712624
AT2G31730,AT4G16750,AT1G64380,-183.969855712624
AT2G31730,AT4G11140,AT5G47220,-184.807430087954
AT2G31730,AT4G16750,AT1G28370,-185.001543382863
AT2G31730,AT4G17500,AT5G47220,-185.436861454127
AT2G31730,AT1G64380,AT3G23240,-185.597098673282
AT2G31730,AT4G16750,AT3G23240,-186.175296168298
AT2G31730,AT3G15210,AT5G47220,-187.688153252731
AT2G31730,AT3G15210,AT4G16750,-188.313661134469
AT2G31730,AT1G25560,AT5G47230,-189.286652509495
AT2G31730,AT5G47220,AT5G47230,-190.351378832774
AT2G31730,AT3G23240,AT5G47220,-190.890786771496
AT2G31730,AT3G15210,AT1G74840,-191.582719526187
AT2G31730,AT1G68840,AT1G74840,-191.616878107764
AT2G31730,AT1G64380,AT1G74840,-192.906941458665
AT2G31730,AT1G74840,AT5G47230,-193.084371995647
AT2G31730,AT1G68840,AT3G61630,-193.175022725808
AT2G31730,AT1G68840,AT1G64380,-193.511494962429
AT2G31730,AT3G15210,AT3G61630,-193.52862967524
AT2G31730,AT3G15210,AT1G64380,-193.900193231672
AT2G31730,AT3G61630,AT5G47230,-194.182984284313
AT2G31730,AT1G28370,AT5G47220,-194.258367542356
AT2G31730,AT1G74840,AT4G17500,-194.415338516583
AT2G31730,AT1G64380,AT4G17500,-194.69870092789
AT2G31730,AT1G64380,AT3G61630,-195.17562499998
AT2G31730,AT1G68840,AT4G11140,-195.526397982969
AT2G31730,AT4G11140,AT5G47230,-195.584782831966
AT2G31730,AT1G74840,AT4G11140,-195.703192804889
AT2G31730,AT5G13910,AT5G47230,-195.897782712397
AT2G31730,AT1G64380,AT4G11140,-195.986555216195
AT2G31730,AT4G17500,AT5G47230,-196.026615584245
AT2G31730,AT1G68840,AT4G17500,-196.420215858991
AT2G31730,AT3G61630,AT4G17500,-196.430241537123
AT2G31730,AT3G15210,AT4G11140,-196.574341881096
AT2G31730,AT1G74840,AT3G61630,-197.20565859777
AT2G31730,AT3G15210,AT5G47230,-197.508220125167
AT2G31730,AT3G61630,AT4G11140,-197.718095825429
AT2G31730,AT3G15210,AT4G17500,-197.778314685421
AT2G31730,AT1G28370,AT5G47230,-198.694709217108
AT2G31730,AT4G11140,AT4G17500,-199.609336491977
AT2G31730,AT1G25560,AT1G74840,-199.65597460104
AT2G31730,AT5G13910,AT1G74840,-200.497236016688
AT2G31730,AT1G25560,AT1G64380,-201.314202677632
AT2G31730,AT5G13910,AT3G61630,-201.344533877073
AT2G31730,AT1G28370,AT1G74840,-201.590358032097
AT2G31730,AT5G13910,AT4G11140,-202.532758324429
AT2G31730,AT5G13910,AT4G17500,-203.108122469332
AT2G31730,AT1G68840,AT5G47220,-203.51837681317
AT2G31730,AT1G28370,AT3G61630,-203.582788196784
AT2G31730,AT1G28370,AT4G11140,-206.142918267807
AT2G31730,AT1G28370,AT4G17500,-206.890132669636
AT2G31730,AT1G74840,AT3G23240,-207.264826119079
AT2G31730,AT4G16750,AT1G74840,-207.795129251942
AT2G31730,AT3G23240,AT3G61630,-209.344267660756
AT2G31730,AT1G68840,AT4G16750,-210.153884616395
AT2G31730,AT3G23240,AT4G11140,-212.141930020544
AT2G31730,AT1G25560,AT4G16750,-212.307115201818
AT2G31730,AT3G23240,AT4G17500,-213.035747896566
AT2G31730,AT1G68840,AT5G47230,-224.166913178002
AT2G31730,AT3G15210,AT1G68840,-225.877397870864
AT2G31730,AT1G25560,AT3G61630,-226.265344469439
AT2G31730,AT1G68840,AT3G23240,-226.623295616817
AT2G31730,AT1G25560,AT4G11140,-228.973394670531
AT2G31730,AT3G15210,AT5G13910,-233.357966169103
AT2G31730,AT3G15210,AT1G28370,-240.743730053624
AT2G31730,AT5G13910,AT5G47220,-242.073465625054
AT2G31730,AT1G25560,AT1G68840,-242.827723454179
AT2G31730,AT3G15210,AT3G23240,-247.031960291912
AT2G31730,AT1G68840,AT5G13910,-250.752039546361
AT2G31730,AT1G25560,AT4G17500,-255.277382889379
AT2G31730,AT5G13910,AT3G23240,-256.035089440776
AT2G31730,AT1G68840,AT1G28370,-256.324682772534
AT2G31730,AT5G13910,AT1G28370,-260.524848775231
AT2G31730,AT1G25560,AT1G28370,-262.390932081321
AT2G31730,AT1G25560,AT5G13910,-276.167164235509
AT2G31730,AT1G28370,AT3G23240,-280.762178654742
AT2G31730,AT3G15210,AT1G25560,-288.0760430482
AT2G31730,AT1G25560,AT3G23240,-299.006646887672
