Target,Source1,Source2,Source3,BDeu
AT3G23150,AT3G16770,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT3G15210,AT5G13910,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT3G23240,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT3G23240,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT3G61630,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT3G15210,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT1G25560,AT1G68840,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT1G64380,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT3G23240,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT1G28370,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT1G68840,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT5G13910,AT1G28370,AT5G17490,-88.9875953822323
AT3G23150,AT1G28370,AT3G23240,AT5G17490,-88.9875953822323
AT3G23150,AT1G64380,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT1G74840,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT3G61630,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT4G11140,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT4G17500,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT4G17500,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT5G47220,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT5G47230,AT1G44830,AT5G17490,-88.9875953822323
AT3G23150,AT5G47230,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT5G47230,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT5G47230,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT1G44830,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT1G44830,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT1G44830,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT4G05100,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT3G15210,AT1G25560,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT1G68840,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT1G68840,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT4G16750,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT5G13910,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT1G28370,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT1G28370,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT1G64380,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT1G64380,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT1G74840,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT1G74840,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT3G61630,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT4G11140,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT4G11140,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT4G17500,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT4G17500,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT5G47220,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT5G47220,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT5G47230,AT3G16770,-88.9875953822323
AT3G23150,AT3G15210,AT5G47230,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT1G44830,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT3G16770,AT4G05100,-88.9875953822323
AT3G23150,AT3G15210,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT3G15210,AT4G05100,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT1G68840,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT4G16750,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT5G13910,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT1G28370,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT1G28370,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT1G64380,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT1G74840,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT3G23240,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT3G61630,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT4G11140,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT4G11140,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT4G17500,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT5G47220,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT5G47220,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT5G47230,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT1G44830,AT3G16770,-88.9875953822323
AT3G23150,AT1G25560,AT1G44830,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT1G25560,AT4G05100,AT5G17490,-88.9875953822323
AT3G23150,AT1G25560,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT1G68840,AT4G16750,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT5G13910,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT5G13910,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT1G28370,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT1G64380,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT1G64380,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT1G74840,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT1G74840,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT3G23240,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT3G61630,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT3G61630,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT4G11140,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT4G11140,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT4G17500,AT3G16770,-88.9875953822323
AT3G23150,AT1G68840,AT4G17500,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT5G47220,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT5G47230,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT1G44830,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT3G16770,AT4G05100,-88.9875953822323
AT3G23150,AT1G68840,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT1G68840,AT4G05100,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT5G13910,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT1G28370,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT1G64380,AT3G16770,-88.9875953822323
AT3G23150,AT4G16750,AT1G64380,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT1G74840,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT3G23240,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT3G61630,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT4G11140,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT4G17500,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT5G47220,AT3G16770,-88.9875953822323
AT3G23150,AT4G16750,AT5G47220,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT5G47230,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT1G44830,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT3G16770,AT4G05100,-88.9875953822323
AT3G23150,AT4G16750,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT4G16750,AT4G05100,AT5G17490,-88.9875953822323
AT3G23150,AT4G16750,AT5G17490,AT5G64750,-88.9875953822323
AT3G23150,AT5G13910,AT1G64380,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT1G74840,AT3G16770,-88.9875953822323
AT3G23150,AT5G13910,AT1G74840,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT3G23240,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT3G61630,AT3G16770,-88.9875953822323
AT3G23150,AT5G13910,AT3G61630,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT4G11140,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT4G17500,AT3G16770,-88.9875953822323
AT3G23150,AT5G13910,AT4G17500,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT5G47220,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT5G47230,AT3G16770,-88.9875953822323
AT3G23150,AT5G13910,AT5G47230,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT1G44830,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT3G16770,AT4G05100,-88.9875953822323
AT3G23150,AT5G13910,AT3G16770,AT5G17490,-88.9875953822323
AT3G23150,AT5G13910,AT3G16770,AT5G64750,-88.9875953822323
AT3G23150,AT5G13910,AT4G05100,AT5G17490,-88.9875953822323
